T  	 	 mu 	 	 sigma 	 	 H 	 	 err
0.173933	 	0.867416	 	0.589062	 	 -0.421285	 	0.0026301
0.172194	 	0.828919	 	0.674461	 	 -0.411097	 	0.00485465
0.170472	 	0.563254	 	0.579048	 	 -0.249165	 	0.00393717
0.168767	 	0.972092	 	0.733433	 	 -0.193761	 	0.0117731
0.167079	 	0.682679	 	0.6119	 	 -0.397928	 	0.0023801
0.165409	 	1.0462	 	0.538642	 	 -0.158639	 	0.00427176
0.163755	 	0.54371	 	0.552198	 	 -0.208191	 	0.00474938
0.162117	 	0.248707	 	0.556831	 	 0.286587	 	0.00732115
0.160496	 	0.100871	 	0.564539	 	 0.437039	 	0.00886197
0.158891	 	0.42472	 	0.99035	 	 -0.232892	 	0.0104253
0.157302	 	0.61052	 	0.604417	 	 -0.327352	 	0.00314589
0.155729	 	0.815875	 	0.541512	 	 -0.39348	 	0.00455108
0.154172	 	0.684331	 	0.505074	 	 -0.293566	 	0.00509919
0.15263	 	0.583361	 	0.481151	 	 -0.176088	 	0.00625975
0.151104	 	0.725824	 	0.80317	 	 -0.314904	 	0.00684972
0.149593	 	0.76932	 	0.679532	 	 -0.4236	 	0.00384308
0.148097	 	0.712619	 	0.693348	 	 -0.401503	 	0.00351599
0.146616	 	0.480868	 	0.699568	 	 -0.210777	 	0.00551548
0.14515	 	0.607115	 	0.669594	 	 -0.329622	 	0.00339597
0.143698	 	0.431056	 	0.798758	 	 -0.23996	 	0.00545712
0.142261	 	0.50673	 	0.873945	 	 -0.269831	 	0.00735175
0.140838	 	0.283133	 	0.762992	 	 -0.123908	 	0.00454896
0.13943	 	0.709833	 	0.617807	 	 -0.412731	 	0.00231071
0.138036	 	0.593608	 	0.69725	 	 -0.317064	 	0.00389336
0.136655	 	0.782685	 	0.578379	 	 -0.430629	 	0.0025583
0.135289	 	0.834341	 	0.563813	 	 -0.416216	 	0.00296397
0.133936	 	0.771835	 	0.500594	 	 -0.293973	 	0.0072278
0.132597	 	1.14074	 	0.573525	 	 0.0563771	 	0.00844374
0.131271	 	0.916218	 	0.622808	 	 -0.388328	 	0.00434375
