#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         386    -3.77138    -3.91448  0.00910897
         387    -3.77793    -3.91413  0.00909226
         388    -3.78856    -3.91381  0.00907458
         389    -3.85493    -3.91365  0.00905252
         390    -3.82168    -3.91342  0.00903238
         391    -3.78406    -3.91309  0.00901533
         392    -3.79835     -3.9128  0.00899709
         393    -3.87235    -3.91269  0.00897478
         394    -3.83129    -3.91249  0.00895438
         395    -3.80957    -3.91222   0.0089355
         396    -3.85688    -3.91209  0.00891403
         397     -3.8844    -3.91202  0.00889185
         398    -3.86882    -3.91191  0.00887017
         399    -3.80679    -3.91164  0.00885185
         400    -3.87089    -3.91154  0.00883031
         401    -3.95114    -3.91164  0.00880884
         402     -3.9377    -3.91171  0.00878717
         403    -3.89739    -3.91167  0.00876543
         404    -3.85643    -3.91153   0.0087448
         405    -3.95088    -3.91163  0.00872375
         406    -4.00622    -3.91186  0.00870537
         407    -3.99869    -3.91208   0.0086866
         408    -3.90969    -3.91207  0.00866531
         409    -3.81978    -3.91184  0.00864706
         410    -3.94984    -3.91194  0.00862647
         411    -3.87728    -3.91185  0.00860589
         412    -3.73575    -3.91143  0.00859561
         413    -3.86662    -3.91132  0.00857548
         414    -3.83123    -3.91112  0.00855695
         415    -3.88521    -3.91106  0.00853656
         416     -3.8413    -3.91089  0.00851769
         417    -3.86564    -3.91079  0.00849795
         418    -3.88423    -3.91072  0.00847786
         419    -3.90511    -3.91071  0.00845763
         420    -3.86277    -3.91059  0.00843827
         421    -3.76241    -3.91024  0.00842556
         422    -3.71087    -3.90977  0.00841883
         423    -3.77361    -3.90945  0.00840508
         424    -3.78955    -3.90917  0.00839001
         425    -3.67961    -3.90862  0.00838764
         426    -3.73927    -3.90823  0.00837737
         427    -3.76198    -3.90788  0.00836475
         428    -3.82788     -3.9077  0.00834729
         429     -3.7933    -3.90743  0.00833209
         430    -3.80472    -3.90719  0.00831614
         431    -3.95044    -3.90729  0.00829745
         432    -3.88023    -3.90723  0.00827848
         433    -3.89864    -3.90721  0.00825938
         434    -3.93868    -3.90728  0.00824067
         435    -3.87337     -3.9072  0.00822209
         436    -3.84071    -3.90705  0.00820465
         437    -3.80504    -3.90682   0.0081892
         438    -3.75936    -3.90648  0.00817742
         439    -3.75742    -3.90614  0.00816583
         440    -3.79711    -3.90589  0.00815104
         441     -3.7726    -3.90559  0.00813815
         442    -3.80189    -3.90536  0.00812312
         443    -3.83543     -3.9052  0.00810632
         444    -3.96737    -3.90534  0.00808927
         445    -3.80316    -3.90511  0.00807435
         446    -3.84691    -3.90498   0.0080573
         447    -3.74072    -3.90461  0.00804765
         448    -3.77129    -3.90431  0.00803519
         449    -3.83379    -3.90416  0.00801883
         450    -3.78747     -3.9039   0.0080052
         451    -3.74363    -3.90354  0.00799534
         452    -3.73719    -3.90318  0.00798611
         453    -3.76709    -3.90287  0.00797413
         454    -3.74566    -3.90253  0.00796408
         455    -3.77848    -3.90226  0.00795124
         456    -3.84867    -3.90214  0.00793468
         457    -3.80349    -3.90192  0.00792025
         458    -3.80874    -3.90172  0.00790557
         459    -3.81568    -3.90153  0.00789057
         460    -3.84767    -3.90141  0.00787428
         461    -3.85557    -3.90132  0.00785783
         462    -3.91278    -3.90134  0.00784086
         463    -3.83704     -3.9012  0.00782516
         464    -3.84923    -3.90109  0.00780909
         465    -3.85674    -3.90099  0.00779288
         466    -3.84944    -3.90088  0.00777694
         467    -3.75028    -3.90056  0.00776697
         468    -3.86236    -3.90048  0.00775081
         469    -3.83245    -3.90033  0.00773564
         470    -3.88719    -3.90031  0.00771923
         471    -3.80206     -3.9001  0.00770566
         472    -3.79495    -3.89987  0.00769255
         473    -3.78275    -3.89963  0.00768027
         474    -3.72795    -3.89926  0.00767261
         475    -3.80612    -3.89907  0.00765896
         476    -3.72521     -3.8987  0.00765157
         477    -3.67703    -3.89824  0.00764963
         478     -3.7493    -3.89793  0.00763997
         479    -3.78468    -3.89769  0.00762768
         480    -3.83659    -3.89756  0.00761285
         481    -3.86948     -3.8975  0.00759725
         482    -3.85692    -3.89742  0.00758195
         483    -3.89946    -3.89742  0.00756626
         484    -3.92135    -3.89747  0.00755078
         485    -3.91384    -3.89751  0.00753529
         486    -3.93326    -3.89758  0.00752015
         487    -3.88946    -3.89756  0.00750472
         488    -4.03992    -3.89786  0.00749501
         489    -4.07786    -3.89822  0.00748872
         490    -4.04774    -3.89853  0.00747965
