#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         398   0.0152778   0.0152778 9.00237e-11
         399   0.0152778   0.0152778 9.06633e-11
         400   0.0152778   0.0152778 9.05499e-11
         401   0.0152778   0.0152778 9.08098e-11
         402   0.0152778   0.0152778 9.14372e-11
         403   0.0152778   0.0152778 9.13237e-11
         404   0.0152778   0.0152778 9.12106e-11
         405   0.0152778   0.0152778 9.18296e-11
         406   0.0152778   0.0152778 9.17165e-11
         407   0.0152778   0.0152778 9.16037e-11
         408   0.0152778   0.0152778 9.22147e-11
         409   0.0152778   0.0152778 9.21019e-11
         410   0.0152778   0.0152778 9.19895e-11
         411   0.0152778   0.0152778 9.18775e-11
         412   0.0152778   0.0152778 9.24801e-11
         413   0.0152778   0.0152778 9.27226e-11
         414   0.0152778   0.0152778 9.26106e-11
         415   0.0152778   0.0152778 9.32024e-11
         416   0.0152778   0.0152778 9.30903e-11
         417   0.0152778   0.0152778 9.29786e-11
         418   0.0152778   0.0152778 9.32158e-11
         419   0.0152778   0.0152778 9.31045e-11
         420   0.0152778   0.0152778 9.29936e-11
         421   0.0152778   0.0152778 9.28831e-11
         422   0.0152778   0.0152778 9.34627e-11
         423   0.0152778   0.0152778 9.33522e-11
         424   0.0152778   0.0152778  9.3242e-11
         425   0.0152778   0.0152778 9.38146e-11
         426   0.0152778   0.0152778 9.40433e-11
         427   0.0152778   0.0152778 9.39331e-11
         428   0.0152778   0.0152778 9.38233e-11
         429   0.0152778   0.0152778 9.43857e-11
         430   0.0152778   0.0152778 9.42759e-11
         431   0.0152778   0.0152778 9.41664e-11
         432   0.0152778   0.0152778 9.40574e-11
         433   0.0152778   0.0152778 9.46127e-11
         434   0.0152778   0.0152778 9.45036e-11
         435   0.0152778   0.0152778 9.43949e-11
         436   0.0152778   0.0152778 9.49436e-11
         437   0.0152778   0.0152778  9.4835e-11
         438   0.0152778   0.0152778 9.47266e-11
         439   0.0152778   0.0152778 9.49444e-11
         440   0.0152778   0.0152778 9.54838e-11
         441   0.0152778   0.0152778 9.53755e-11
